candle_begin_time,open,high,low,close,volume
2021-07-07 02:27:00,3.077,3.077,3.06,3.06,6247.359364870001
2021-07-07 02:28:00,3.06,3.07,3.0553,3.0599,4332.433114550002
2021-07-07 02:29:00,3.06,3.07,3.052,3.052,2737.15269653
2021-07-07 02:30:00,3.0693,3.0693,3.0509,3.0522,916.0605291600001
2021-07-07 02:31:00,3.0649,3.065,3.043,3.0538,12894.684133659997
2021-07-07 02:32:00,3.0645,3.0751,3.0535,3.07,435.49112117000004
2021-07-07 02:33:00,3.0752,3.08,3.053,3.0789,483.72908361000003
2021-07-07 02:34:00,3.0788,3.0789999999999997,3.0747,3.0747,1429.83078296
2021-07-07 02:35:00,3.0749,3.0789999999999997,3.0747,3.0789999999999997,1250.03323164
2021-07-07 02:36:00,3.0789999999999997,3.0789999999999997,3.0681,3.07,916.79923117
2021-07-07 02:37:00,3.07,3.0789999999999997,3.0693,3.0789999999999997,1551.47798448
2021-07-07 02:38:00,3.0780000000000003,3.08,3.0780000000000003,3.0791,818.32309923
2021-07-07 02:39:00,3.08,3.08,3.0789999999999997,3.0789999999999997,706.15782618
2021-07-07 02:40:00,3.08,3.08,3.08,3.08,398.96049400000004
2021-07-07 02:41:00,3.08,3.08,3.0789999999999997,3.0789999999999997,609.7934112300001
2021-07-07 02:42:00,3.0789999999999997,3.0789999999999997,3.0789999999999997,3.0789999999999997,411.84752833
2021-07-07 02:43:00,3.0789999999999997,3.08,3.0723,3.08,644.1014049600001
2021-07-07 02:44:00,3.08,3.08,3.0731,3.08,1273.51650824
2021-07-07 02:45:00,3.091,3.097,3.072,3.072,4993.47605479
2021-07-07 02:46:00,3.072,3.094,3.06,3.07,8240.682086379999
2021-07-07 02:47:00,3.07,3.0933,3.042,3.068,3407.1350149100012
2021-07-07 02:48:00,3.068,3.068,3.035,3.04,3849.8925579399993
2021-07-07 02:49:00,3.04,3.04,3.031,3.04,11903.50795906
2021-07-07 02:50:00,3.0392,3.04,3.0260000000000002,3.0399,6267.799789199999
2021-07-07 02:51:00,3.04,3.0677,3.04,3.0669999999999997,1015.0864215599998
2021-07-07 02:52:00,3.0665,3.0666,3.0649,3.0649,229.5
2021-07-07 02:53:00,3.0654,3.0655,3.02,3.065,14552.612454710003
2021-07-07 02:54:00,3.0399,3.0669999999999997,3.02,3.0669999999999997,4797.398516379999
2021-07-07 02:55:00,3.0589999999999997,3.0589999999999997,3.0273,3.0404,320.5480986599999
2021-07-07 02:56:00,3.0403,3.0589999999999997,3.0403,3.05,773.7252879499999
2021-07-07 02:57:00,3.05,3.05,3.0499,3.05,266.61931976999995
2021-07-07 02:58:00,3.0289,3.05,3.0286,3.0499,2759.50214017
2021-07-07 02:59:00,3.04,3.04,3.023,3.0299,604.9947193200001
2021-07-07 03:00:00,3.0299,3.0299,3.0299,3.0299,370.04783685999996
2021-07-07 03:01:00,3.0299,3.0299,3.0299,3.0299,1670.2001964199999
2021-07-07 03:02:00,3.032,3.032,3.0295,3.03,1546.0146545999999
2021-07-07 03:03:00,3.032,3.0605,3.015,3.0602,2079.13940847
2021-07-07 03:04:00,3.0598,3.0598,3.0225,3.0576,683.78097289
2021-07-07 03:05:00,3.0572,3.088,3.0571,3.0589999999999997,322.3
2021-07-07 03:06:00,3.0583,3.0584,3.0580000000000003,3.0580000000000003,858.32769153
2021-07-07 03:07:00,3.088,3.088,3.0396,3.0855,1410.3343097299999
2021-07-07 03:08:00,3.0397,3.0838,3.0234,3.0691,996.736734
2021-07-07 03:09:00,3.025,3.0685,3.025,3.0660000000000003,393.31097289
2021-07-07 03:10:00,3.0311,3.0599,3.031,3.0499,349.77500000000003
2021-07-07 03:11:00,3.0495,3.0497,3.032,3.032,855.7402015299999
2021-07-07 03:12:00,3.042,3.042,3.042,3.042,540.58137961
2021-07-07 03:13:00,3.042,3.0423,3.04,3.0423,439.99999971
2021-07-07 03:14:00,3.0451,3.0555,3.0451,3.0555,2.0
2021-07-07 03:15:00,3.0517,3.0517,3.0517,3.0517,104.0761747
2021-07-07 03:16:00,3.0481,3.0481,3.0469999999999997,3.0469999999999997,100.0
2021-07-07 03:17:00,3.052,3.052,3.0333,3.0462,5684.6398421700005
2021-07-07 03:18:00,3.0462,3.0462,3.0462,3.0462,500.0331157
2021-07-07 03:19:00,3.0353,3.0517,3.035,3.0517,250.22819087
2021-07-07 03:20:00,3.0517,3.0742,3.048,3.05,343.96656558
2021-07-07 03:21:00,3.045,3.045,3.035,3.035,974.9501286499999
2021-07-07 03:22:00,3.035,3.0729,3.03,3.03,2109.14552405
2021-07-07 03:23:00,3.028,3.03,3.0239999999999996,3.0294,3839.0389443500003
2021-07-07 03:24:00,3.0235,3.0298,3.0235,3.0260000000000002,526.782869
2021-07-07 03:25:00,3.0260000000000002,3.03,3.0202,3.03,719.061551
2021-07-07 03:26:00,3.03,3.0383,3.03,3.0383,68.79965899999999
2021-07-07 03:27:00,3.035,3.035,3.03,3.03,33.109366
2021-07-07 03:28:00,3.035,3.035,3.035,3.035,33.021936
2021-07-07 03:29:00,3.035,3.0385,3.035,3.035,81.00272237
2021-07-07 03:30:00,3.0325,3.05,3.0325,3.0386,268.095936
2021-07-07 03:32:00,3.032,3.0461,3.032,3.0461,4.39251312
2021-07-07 03:33:00,3.0453,3.05,3.0449,3.0499,917.0703279700002
2021-07-07 03:34:00,3.0453,3.0453,3.0316,3.0316,904.3613301
2021-07-07 03:35:00,3.04,3.0453,3.04,3.0453,2.0
2021-07-07 03:36:00,3.05,3.05,3.04,3.0401,200.32726237
2021-07-07 03:37:00,3.05,3.05,3.05,3.05,1.0
2021-07-07 03:39:00,3.054,3.054,3.054,3.054,1.0
2021-07-07 03:41:00,3.04,3.0542,3.04,3.0542,124.50906933
2021-07-07 03:44:00,3.04,3.04,3.0327,3.0327,1.00001007
2021-07-07 03:45:00,3.0327,3.049,3.0327,3.049,360.83318427999995
2021-07-07 03:46:00,3.0327,3.0481,3.0327,3.0481,329.66352057
2021-07-07 03:47:00,3.0481,3.0481,3.0481,3.0481,5.35292594
2021-07-07 03:49:00,3.0497,3.0633,3.0496,3.0633,573.844379
2021-07-07 03:51:00,3.0471,3.0471,3.0469999999999997,3.0469999999999997,209.43754127999998
2021-07-07 03:52:00,3.035,3.0564,3.035,3.0564,43.49594082
2021-07-07 03:53:00,3.0499,3.0499,3.0499,3.0499,4.73877582
